Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,36,106,NA
1/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,34,124,NA
1/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,36,106,NA
13/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,37,112,NA
17/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,34,119,NA
20/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,17,34,95,NA
24/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,34,112,NA
27/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,34,112,NA
30/01/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,36,98,NA
2/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,37,102,NA
2/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,18,36,119,NA
2/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,39,107,NA
14/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,38,104,NA
17/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,37,117,NA
21/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,35,116,NA
24/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,18,34,101,NA
28/02/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,35,120,NA
3/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,40,115,NA
3/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,39,125,NA
3/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,42,112,NA
14/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,41,110,NA
17/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,39,122,NA
21/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,37,121,NA
24/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,37,108,NA
28/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,38,126,NA
31/03/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,43,121,NA
4/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,40,125,NA
4/7/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,39,130,NA
4/11/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,38,112,NA
14/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,36,125,NA
18/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,38,126,NA
21/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,38,114,NA
25/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,39,118,NA
28/04/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,38,129,NA
5/2/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,41,138,NA
5/5/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,42,122,NA
5/9/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,40,118,NA
5/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,40,128,NA
16/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,39,128,NA
19/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,46,40,117,NA
23/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,40,128,NA
26/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,42,125,NA
30/05/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,44,116,NA
6/2/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,40,122,NA
6/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,42,127,NA
6/9/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,45,111,NA
13/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,40,138,NA
16/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,26,44,131,NA
20/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,41,121,NA
23/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,21,43,136,NA
27/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,46,142,NA
30/06/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,25,49,130,NA
7/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,26,47,126,NA
14/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,42,131,NA
15/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,22,38,114,NA
18/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,19,41,133,NA
21/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,24,41,122,NA
25/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,23,40,119,NA
28/07/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,20,38,127,NA
8/1/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,38,38,113,NA
8/4/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,18,35,116,NA
18/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,17,36,108,NA
19/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,34,101,NA
22/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,17,34,112,NA
23/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,38,116,NA
25/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,28,92,NA
29/08/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,12,28,99,NA
9/1/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,12,27,81,NA
9/5/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,12,25,75,NA
9/8/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,11,27,93,NA
9/12/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,30,103,NA
15/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,11,25,86,NA
19/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,14,32,95,NA
22/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,14,31,99,NA
25/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,33,102,NA
29/09/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,28,97,NA
10/3/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,14,33,61,NA
10/6/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,31,103,NA
10/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,28,110,NA
13/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,29,109,NA
17/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,12,30,116,NA
20/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,34,92,NA
24/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,13,31,104,NA
25/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,15,34,94,NA
26/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,11,25,62,NA
27/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,11,19,53,NA
28/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,9,17,51,NA
29/10/2011,Gujarat,Ahmedabad,Gujarat State Pollution Control Board,Industrial Area,8,16,47,NA
